PUCNUMBER,NOMBRE,CLASE,GRUPO,CUENTA,SUBCUENTA,CLASE_NOMBRE,GRUPO_NOMBRE,CUENTA_NOMBRE,SUBCUENTA_NOMBRE
1340,PROMESAS DE COMPRA VENTA,1,13,1340,1340,ACTIVO,DEUDORES,PROMESAS DE COMPRA VENTA,
1345,INGRESOS POR COBRAR,1,13,1345,1345,ACTIVO,DEUDORES,INGRESOS POR COBRAR,
1350,RETENCION SOBRE CONTRATOS,1,13,1350,1350,ACTIVO,DEUDORES,RETENCION SOBRE CONTRATOS,
1355,ANTICIPO DE IMPUESTOS Y CONTRIBUCIONES O SALDOS A FAVOR,1,13,1355,1355,ACTIVO,DEUDORES,ANTICIPO DE IMPUESTOS Y CONTRIBUCIONES O SALDOS A FAVOR,
1360,RECLAMACIONES,1,13,1360,1360,ACTIVO,DEUDORES,RECLAMACIONES,
1365,CUENTAS POR COBRAR A TRABAJADORES,1,13,1365,1365,ACTIVO,DEUDORES,CUENTAS POR COBRAR A TRABAJADORES,
1370,PRESTAMOS A PARTICULARES,1,13,1370,1370,ACTIVO,DEUDORES,PRESTAMOS A PARTICULARES,
1380,DEUDORES VARIOS,1,13,1380,1380,ACTIVO,DEUDORES,DEUDORES VARIOS,
1385,DERECHOS DE RECOMPRA DE CARTERA NEGOCIADA,1,13,1385,1385,ACTIVO,DEUDORES,DERECHOS DE RECOMPRA DE CARTERA NEGOCIADA,
1390,DEUDAS DE DIFICIL COBRO,1,13,1390,1390,ACTIVO,DEUDORES,DEUDAS DE DIFICIL COBRO,
1399,PROVISIONES,1,13,1399,1399,ACTIVO,DEUDORES,PROVISIONES,
1405,MATERIAS PRIMAS,1,14,1405,1405,ACTIVO,INVENTARIOS,MATERIAS PRIMAS,
1410,PRODUCTOS EN PROCESO,1,14,1410,1410,ACTIVO,INVENTARIOS,PRODUCTOS EN PROCESO,
1415,OBRAS DE CONSTRUCCION EN CURSO,1,14,1415,1415,ACTIVO,INVENTARIOS,OBRAS DE CONSTRUCCION EN CURSO,
1417,OBRAS DE URBANISMO,1,14,1417,1417,ACTIVO,INVENTARIOS,OBRAS DE URBANISMO,
1420,CONTRATOS EN EJECUCION,1,14,1420,1420,ACTIVO,INVENTARIOS,CONTRATOS EN EJECUCION,
1425,CULTIVOS EN DESARROLLO,1,14,1425,1425,ACTIVO,INVENTARIOS,CULTIVOS EN DESARROLLO,
1430,PRODUCTOS TERMINADOS,1,14,1430,1430,ACTIVO,INVENTARIOS,PRODUCTOS TERMINADOS,
1435,MERCANCIAS NO FABRICADAS POR LA EMPRESA,1,14,1435,1435,ACTIVO,INVENTARIOS,MERCANCIAS NO FABRICADAS POR LA EMPRESA,
1440,BIENES RAICES PARA LA VENTA,1,14,1440,1440,ACTIVO,INVENTARIOS,BIENES RAICES PARA LA VENTA,
1445,SEMOVIENTES,1,14,1445,1445,ACTIVO,INVENTARIOS,SEMOVIENTES,
1450,TERRENOS,1,14,1450,1450,ACTIVO,INVENTARIOS,TERRENOS,
1455,"MATERIALES, REPUESTOS Y ACCESORIOS",1,14,1455,1455,ACTIVO,INVENTARIOS,"MATERIALES, REPUESTOS Y ACCESORIOS",
1460,ENVASES Y EMPAQUES,1,14,1460,1460,ACTIVO,INVENTARIOS,ENVASES Y EMPAQUES,
1465,INVENTARIOS EN TRANSITO,1,14,1465,1465,ACTIVO,INVENTARIOS,INVENTARIOS EN TRANSITO,
1499,PROVISIONES,1,14,1499,1499,ACTIVO,INVENTARIOS,PROVISIONES,
1504,TERRENOS,1,15,1504,1504,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,TERRENOS,
1506,MATERIALES PROYECTOS PETROLEROS,1,15,1506,1506,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,MATERIALES PROYECTOS PETROLEROS,
1508,CONSTRUCCIONES EN CURSO,1,15,1508,1508,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,CONSTRUCCIONES EN CURSO,
1512,MAQUINARIA Y EQUIPOS EN MONTAJE,1,15,1512,1512,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,MAQUINARIA Y EQUIPOS EN MONTAJE,
1516,CONSTRUCCIONES Y EDIFICACIONES,1,15,1516,1516,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,CONSTRUCCIONES Y EDIFICACIONES,
1520,MAQUINARIA Y EQUIPO,1,15,1520,1520,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,MAQUINARIA Y EQUIPO,
1524,EQUIPO DE OFICINA,1,15,1524,1524,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,EQUIPO DE OFICINA,
1528,EQUIPO DE COMPUTACION Y COMUNICACION,1,15,1528,1528,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,EQUIPO DE COMPUTACION Y COMUNICACION,
1532,EQUIPO MEDICO - CIENTIFICO,1,15,1532,1532,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,EQUIPO MEDICO - CIENTIFICO,
1536,EQUIPO DE HOTELES Y RESTAURANTES,1,15,1536,1536,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,EQUIPO DE HOTELES Y RESTAURANTES,
1540,FLOTA Y EQUIPO DE TRANSPORTE,1,15,1540,1540,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,FLOTA Y EQUIPO DE TRANSPORTE,
1544,FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO,1,15,1544,1544,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO,
1548,FLOTA Y EQUIPO AEREO,1,15,1548,1548,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,FLOTA Y EQUIPO AEREO,
1552,FLOTA Y EQUIPO FERREO,1,15,1552,1552,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,FLOTA Y EQUIPO FERREO,
1556,ACUEDUCTOS PLANTAS Y REDES,1,15,1556,1556,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,ACUEDUCTOS PLANTAS Y REDES,
1560,ARMAMENTO DE VIGILANCIA,1,15,1560,1560,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,ARMAMENTO DE VIGILANCIA,
1562,ENVASES Y EMPAQUES,1,15,1562,1562,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,ENVASES Y EMPAQUES,
1564,PLANTACIONES AGRICOLAS Y FORESTALES,1,15,1564,1564,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,PLANTACIONES AGRICOLAS Y FORESTALES,
1568,VIAS DE COMUNICACION,1,15,1568,1568,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,VIAS DE COMUNICACION,
1572,MINAS Y CANTERAS,1,15,1572,1572,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,MINAS Y CANTERAS,
1576,POZOS ARTESIANOS,1,15,1576,1576,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,POZOS ARTESIANOS,
1580,YACIMIENTOS,1,15,1580,1580,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,YACIMIENTOS,
1584,SEMOVIENTES,1,15,1584,1584,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,SEMOVIENTES,
1588,PROPIEDADES PLANTA Y EQUIPO EN TRANSITO,1,15,1588,1588,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,PROPIEDADES PLANTA Y EQUIPO EN TRANSITO,
1592,DEPRECIACION ACUMULADA,1,15,1592,1592,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,DEPRECIACION ACUMULADA,
1596,DEPRECIACION DIFERIDA,1,15,1596,1596,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,DEPRECIACION DIFERIDA,
1597,AMORTIZACION ACUMULADA,1,15,1597,1597,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,AMORTIZACION ACUMULADA,
1598,AGOTAMIENTO ACUMULADO,1,15,1598,1598,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,AGOTAMIENTO ACUMULADO,
1599,PROVISIONES,1,15,1599,1599,ACTIVO,PROPIEDADES PLANTA Y EQUIPO,PROVISIONES,
1605,CREDITO MERCANTIL,1,16,1605,1605,ACTIVO,INTANGIBLES,CREDITO MERCANTIL,
1610,MARCAS,1,16,1610,1610,ACTIVO,INTANGIBLES,MARCAS,
1615,PATENTES,1,16,1615,1615,ACTIVO,INTANGIBLES,PATENTES,
1620,CONCESIONES Y FRANQUICIAS,1,16,1620,1620,ACTIVO,INTANGIBLES,CONCESIONES Y FRANQUICIAS,
1625,DERECHOS,1,16,1625,1625,ACTIVO,INTANGIBLES,DERECHOS,
1630,KNOW HOW,1,16,1630,1630,ACTIVO,INTANGIBLES,KNOW HOW,
1635,LICENCIAS,1,16,1635,1635,ACTIVO,INTANGIBLES,LICENCIAS,
1698,AMORTIZACION ACUMULADA,1,16,1698,1698,ACTIVO,INTANGIBLES,AMORTIZACION ACUMULADA,
1699,PROVISIONES,1,16,1699,1699,ACTIVO,INTANGIBLES,PROVISIONES,
1705,GASTOS PAGADOS POR ANTICIPADO,1,17,1705,1705,ACTIVO,DIFERIDOS,GASTOS PAGADOS POR ANTICIPADO,
1710,CARGOS DIFERIDOS,1,17,1710,1710,ACTIVO,DIFERIDOS,CARGOS DIFERIDOS,
1715,COSTOS DE EXPLORACION POR AMORTIZAR,1,17,1715,1715,ACTIVO,DIFERIDOS,COSTOS DE EXPLORACION POR AMORTIZAR,
1720,COSTOS DE EXPLOTACION Y DESARROLLO,1,17,1720,1720,ACTIVO,DIFERIDOS,COSTOS DE EXPLOTACION Y DESARROLLO,
1730,CARGOS POR CORRECCION MONETARIA DIFERIDA,1,17,1730,1730,ACTIVO,DIFERIDOS,CARGOS POR CORRECCION MONETARIA DIFERIDA,
1798,AMORTIZACION ACUMULADA,1,17,1798,1798,ACTIVO,DIFERIDOS,AMORTIZACION ACUMULADA,
1805,BIENES DE ARTE Y CULTURA,1,18,1805,1805,ACTIVO,OTROS ACTIVOS,BIENES DE ARTE Y CULTURA,
1895,DIVERSOS,1,18,1895,1895,ACTIVO,OTROS ACTIVOS,DIVERSOS,
1899,PROVISIONES,1,18,1899,1899,ACTIVO,OTROS ACTIVOS,PROVISIONES,
1905,DE INVERSIONES,1,19,1905,1905,ACTIVO,VALORIZACIONES,DE INVERSIONES,
1910,DE PROPIEDADES PLANTA Y EQUIPO,1,19,1910,1910,ACTIVO,VALORIZACIONES,DE PROPIEDADES PLANTA Y EQUIPO,
1995,DE OTROS ACTIVOS,1,19,1995,1995,ACTIVO,VALORIZACIONES,DE OTROS ACTIVOS,
5105,GASTOS DE PERSONAL,5,51,5105,,GASTOS,OPERACIONALES DE ADMINISTRACIÓN,GASTOS DE PERSONAL,
5110,HONORARIOS,5,51,5110,,GASTOS,OPERACIONALES DE ADMINISTRACIÓN,HONORARIOS,
5115,IMPUESTOS,5,51,5115,,GASTOS,OPERACIONALES DE ADMINISTRACIÓN,IMPUESTOS,
5120,ARRENDAMIENTOS,5,51,5120,,GASTOS,OPERACIONALES DE ADMINISTRACIÓN,ARRENDAMIENTOS,
5125,CONTRIBUCIONES Y AFILIACIONES,5,51,5125,,GASTOS,OPERACIONALES DE ADMINISTRACIÓN,CONTRIBUCIONES Y AFILIACIONES,
5130,SEGUROS,5,51,5130,,GASTOS,OPERACIONALES DE ADMINISTRACIÓN,SEGUROS,
5135,SERVICIOS,5,51,5135,,GASTOS,OPERACIONALES DE ADMINISTRACIÓN,SERVICIOS,
5140,GASTOS LEGALES,5,51,5140,,GASTOS,OPERACIONALES DE ADMINISTRACIÓN,GASTOS LEGALES,
5145,MANTENIMIENTO Y REPARACIONES,5,51,5145,,GASTOS,OPERACIONALES DE ADMINISTRACIÓN,MANTENIMIENTO Y REPARACIONES,
5150,ADECUACIÓN E INSTALACIÓN,5,51,5150,,GASTOS,OPERACIONALES DE ADMINISTRACIÓN,ADECUACIÓN E INSTALACIÓN,
5155,GASTOS DE VIAJE,5,51,5155,,GASTOS,OPERACIONALES DE ADMINISTRACIÓN,GASTOS DE VIAJE,
5160,DEPRECIACIONES,5,51,5160,,GASTOS,OPERACIONALES DE ADMINISTRACIÓN,DEPRECIACIONES,
5165,AMORTIZACIONES,5,51,5165,,GASTOS,OPERACIONALES DE ADMINISTRACIÓN,AMORTIZACIONES,
5195,DIVERSOS,5,51,5195,,GASTOS,OPERACIONALES DE ADMINISTRACIÓN,DIVERSOS,
5199,PROVISIONES,5,51,5199,,GASTOS,OPERACIONALES DE ADMINISTRACIÓN,PROVISIONES,
5205,GASTOS DE PERSONAL,5,52,5205,,GASTOS,OPERACIONALES DE VENTAS,GASTOS DE PERSONAL,
5210,HONORARIOS,5,52,5210,,GASTOS,OPERACIONALES DE VENTAS,HONORARIOS,
5215,IMPUESTOS,5,52,5215,,GASTOS,OPERACIONALES DE VENTAS,IMPUESTOS,
5220,ARRENDAMIENTOS,5,52,5220,,GASTOS,OPERACIONALES DE VENTAS,ARRENDAMIENTOS,
5225,CONTRIBUCIONES Y AFILIACIONES,5,52,5225,,GASTOS,OPERACIONALES DE VENTAS,CONTRIBUCIONES Y AFILIACIONES,
5230,SEGUROS,5,52,5230,,GASTOS,OPERACIONALES DE VENTAS,SEGUROS,
5235,SERVICIOS,5,52,5235,,GASTOS,OPERACIONALES DE VENTAS,SERVICIOS,
5240,GASTOS LEGALES,5,52,5240,,GASTOS,OPERACIONALES DE VENTAS,GASTOS LEGALES,
5245,MANTENIMIENTO Y REPARACIONES,5,52,5245,,GASTOS,OPERACIONALES DE VENTAS,MANTENIMIENTO Y REPARACIONES,
5250,ADECUACIÓN E INSTALACIÓN,5,52,5250,,GASTOS,OPERACIONALES DE VENTAS,ADECUACIÓN E INSTALACIÓN,
5255,GASTOS DE VIAJE,5,52,5255,,GASTOS,OPERACIONALES DE VENTAS,GASTOS DE VIAJE,
5260,DEPRECIACIONES,5,52,5260,,GASTOS,OPERACIONALES DE VENTAS,DEPRECIACIONES,
5265,AMORTIZACIONES,5,52,5265,,GASTOS,OPERACIONALES DE VENTAS,AMORTIZACIONES,
5270,FINANCIEROS-REAJUSTE DEL SISTEMA,5,52,5270,,GASTOS,OPERACIONALES DE VENTAS,FINANCIEROS-REAJUSTE DEL SISTEMA,
5275,RDIDAS MÉTODO DE PARTICIPACIÓN,5,52,5275,,GASTOS,OPERACIONALES DE VENTAS,RDIDAS MÉTODO DE PARTICIPACIÓN,
5295,DIVERSOS,5,52,5295,,GASTOS,OPERACIONALES DE VENTAS,DIVERSOS,
5299,PROVISIONES,5,52,5299,,GASTOS,OPERACIONALES DE VENTAS,PROVISIONES,
5305,FINANCIEROS,5,53,5305,,GASTOS,NO OPERACIONALES,FINANCIEROS,
5310,PÉRDIDA EN VENTA Y RETIRO DE BIENES,5,53,5310,,GASTOS,NO OPERACIONALES,PÉRDIDA EN VENTA Y RETIRO DE BIENES,
5313,PÉRDIDAS MÉTODO DE PARTICIPACIÓN,5,53,5313,,GASTOS,NO OPERACIONALES,PÉRDIDAS MÉTODO DE PARTICIPACIÓN,
5315,GASTOS EXTRAORDINARIOS,5,53,5315,,GASTOS,NO OPERACIONALES,GASTOS EXTRAORDINARIOS,
5395,GASTOS DIVERSOS,5,53,5395,,GASTOS,NO OPERACIONALES,GASTOS DIVERSOS,
5405,IMPUESTO DE RENTA Y COMPLEMENTARIOS,5,54,5405,,GASTOS,IMPUESTO DE RENTA Y COMPLEMENTARIOS,IMPUESTO DE RENTA Y COMPLEMENTARIOS,
5905,GANANCIAS Y PÉRDIDAS,5,59,5905,,GASTOS,GANANCIAS Y PÉRDIDAS,GANANCIAS Y PÉRDIDAS,
110505,CAJA GENERAL,1,11,1105,110505,ACTIVO,DISPONIBLE,CAJA,CAJA GENERAL
110510,CAJAS MENORES,1,11,1105,110510,ACTIVO,DISPONIBLE,CAJA,CAJAS MENORES
110515,MONEDA EXTRANJERA,1,11,1105,110515,ACTIVO,DISPONIBLE,CAJA,MONEDA EXTRANJERA
111005,MONEDA NACIONAL,1,11,1110,111005,ACTIVO,DISPONIBLE,BANCOS,MONEDA NACIONAL
111010,MONEDA EXTRANJERA,1,11,1110,111010,ACTIVO,DISPONIBLE,BANCOS,MONEDA EXTRANJERA
111505,MONEDA NACIONAL,1,11,1115,111505,ACTIVO,DISPONIBLE,REMESAS EN TRANSITO,MONEDA NACIONAL
111510,MONEDA EXTRANJERA,1,11,1115,111510,ACTIVO,DISPONIBLE,REMESAS EN TRANSITO,MONEDA EXTRANJERA
112005,BANCOS,1,11,1120,112005,ACTIVO,DISPONIBLE,CUENTAS DE AHORRO,BANCOS
112010,CORPORACIONES DE AHORRO Y VIVIENDA,1,11,1120,112010,ACTIVO,DISPONIBLE,CUENTAS DE AHORRO,CORPORACIONES DE AHORRO Y VIVIENDA
112015,ORGANISMOS COOPERATIVOS FINANCIEROS,1,11,1120,112015,ACTIVO,DISPONIBLE,CUENTAS DE AHORRO,ORGANISMOS COOPERATIVOS FINANCIEROS
112505,ROTATORIOS MONEDA NACIONAL,1,11,1125,112505,ACTIVO,DISPONIBLE,FONDOS,ROTATORIOS MONEDA NACIONAL
112510,ROTATORIOS MONEDA EXTRANJERA,1,11,1125,112510,ACTIVO,DISPONIBLE,FONDOS,ROTATORIOS MONEDA EXTRANJERA
112515,ESPECIALES MONEDA NACIONAL,1,11,1125,112515,ACTIVO,DISPONIBLE,FONDOS,ESPECIALES MONEDA NACIONAL
112520,ESPECIALES MONEDA EXTRANJERA,1,11,1125,112520,ACTIVO,DISPONIBLE,FONDOS,ESPECIALES MONEDA EXTRANJERA
112525,DE AMORTIZACION MONEDA NACIONAL,1,11,1125,112525,ACTIVO,DISPONIBLE,FONDOS,DE AMORTIZACION MONEDA NACIONAL
112530,DE AMORTIZACION MONEDA EXTRANJERA,1,11,1125,112530,ACTIVO,DISPONIBLE,FONDOS,DE AMORTIZACION MONEDA EXTRANJERA
120505,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",1,12,1205,120505,ACTIVO,INVERSIONES,ACCIONES,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA"
120510,PESCA,1,12,1205,120510,ACTIVO,INVERSIONES,ACCIONES,PESCA
120515,EXPLOTACION DE MINAS Y CANTERAS,1,12,1205,120515,ACTIVO,INVERSIONES,ACCIONES,EXPLOTACION DE MINAS Y CANTERAS
120520,INDUSTRIA MANUFACTURERA,1,12,1205,120520,ACTIVO,INVERSIONES,ACCIONES,INDUSTRIA MANUFACTURERA
120525,"SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA",1,12,1205,120525,ACTIVO,INVERSIONES,ACCIONES,"SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA"
120530,CONSTRUCCION,1,12,1205,120530,ACTIVO,INVERSIONES,ACCIONES,CONSTRUCCION
120535,COMERCIO AL POR MAYOR Y AL POR MENOR,1,12,1205,120535,ACTIVO,INVERSIONES,ACCIONES,COMERCIO AL POR MAYOR Y AL POR MENOR
120540,HOTELES Y RESTAURANTES,1,12,1205,120540,ACTIVO,INVERSIONES,ACCIONES,HOTELES Y RESTAURANTES
120545,"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES",1,12,1205,120545,ACTIVO,INVERSIONES,ACCIONES,"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES"
120550,ACTIVIDAD FINANCIERA,1,12,1205,120550,ACTIVO,INVERSIONES,ACCIONES,ACTIVIDAD FINANCIERA
120555,"ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER",1,12,1205,120555,ACTIVO,INVERSIONES,ACCIONES,"ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER"
120560,ENSEÑANZA,1,12,1205,120560,ACTIVO,INVERSIONES,ACCIONES,ENSEÑANZA
120565,SERVICIOS SOCIALES Y DE SALUD,1,12,1205,120565,ACTIVO,INVERSIONES,ACCIONES,SERVICIOS SOCIALES Y DE SALUD
120570,"OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS, SOCIALES",1,12,1205,120570,ACTIVO,INVERSIONES,ACCIONES,"OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS, SOCIALES"
120599,AJUSTES POR INFLACION,1,12,1205,120599,ACTIVO,INVERSIONES,ACCIONES,AJUSTES POR INFLACION
121005,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",1,12,1210,121005,ACTIVO,INVERSIONES,CUOTAS O PARTES DE INTERES SOCIAL,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA"
121010,PESCA,1,12,1210,121010,ACTIVO,INVERSIONES,CUOTAS O PARTES DE INTERES SOCIAL,PESCA
121015,EXPLOTACION DE MINAS Y CANTERAS,1,12,1210,121015,ACTIVO,INVERSIONES,CUOTAS O PARTES DE INTERES SOCIAL,EXPLOTACION DE MINAS Y CANTERAS
121020,INDUSTRIA MANUFACTURERA,1,12,1210,121020,ACTIVO,INVERSIONES,CUOTAS O PARTES DE INTERES SOCIAL,INDUSTRIA MANUFACTURERA
121025,"SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA",1,12,1210,121025,ACTIVO,INVERSIONES,CUOTAS O PARTES DE INTERES SOCIAL,"SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA"
121030,CONSTRUCCION,1,12,1210,121030,ACTIVO,INVERSIONES,CUOTAS O PARTES DE INTERES SOCIAL,CONSTRUCCION
121035,COMERCIO AL POR MAYOR Y AL POR MENOR,1,12,1210,121035,ACTIVO,INVERSIONES,CUOTAS O PARTES DE INTERES SOCIAL,COMERCIO AL POR MAYOR Y AL POR MENOR
121040,HOTELES Y RESTAURANTES,1,12,1210,121040,ACTIVO,INVERSIONES,CUOTAS O PARTES DE INTERES SOCIAL,HOTELES Y RESTAURANTES
121045,"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES",1,12,1210,121045,ACTIVO,INVERSIONES,CUOTAS O PARTES DE INTERES SOCIAL,"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES"
121050,ACTIVIDAD FINANCIERA,1,12,1210,121050,ACTIVO,INVERSIONES,CUOTAS O PARTES DE INTERES SOCIAL,ACTIVIDAD FINANCIERA
